participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,key_resp.keys,key_resp.rt,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,curr_topStim,curr_bottStim,curr_shape,acc,E1,target_resp_prac1.keys,pracBlock,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task1_prac_trials.ran,target_resp_prac1.rt
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,0.0599,1,365,1,2,7,31,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,0.3452,1,366,1,2,8,32,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,0.3728,1,367,1,2,9,33,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,0.3156,1,368,1,2,10,34,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,0.0208,10,378,1,2,11,35,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,1.3035,1,379,2,0,0,0,8,1,0,0,1,0,0,0,0,1,hexagon,star,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,0.2716,1,380,2,0,1,1,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,0.6483,10,390,2,0,2,2,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,0.402,10,400,2,0,3,3,2,1,1,0,0,0,0,0,0,1,triangle,star,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,0.4408,1,401,2,0,4,4,7,1,0,0,1,0,0,1,0,0,hexagon,circle,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,0.5381,10,411,2,0,5,5,6,1,0,0,1,0,1,0,0,0,hexagon,triangle,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,0.5899,1,412,2,0,6,6,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,1.2904,10,422,2,0,7,7,4,1,0,1,0,0,0,0,1,0,circle,hexagon,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,2.2484,10,432,2,0,8,8,1,1,1,0,0,0,0,0,1,0,triangle,hexagon,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,0.4138,10,442,2,0,9,9,11,1,0,0,0,1,0,0,1,0,star,hexagon,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,0.4811,10,452,2,0,10,10,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,a,0.3382,10,462,2,0,11,11,10,1,0,0,0,1,0,1,0,0,star ,circle,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,1.8317,10,472,2,1,0,12,9,1,0,0,0,1,1,0,0,0,star,triangle,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,10.1467,1,473,2,1,1,13,5,1,0,1,0,0,0,0,0,1,circle,star,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,0.5294,1,474,2,1,2,14,0,1,1,0,0,0,0,1,0,0,triangle,circle,,,,,,,,,,,,,
293854,2022-09-21_15h27.00.406,vts_reward_expectancy,2022.2.4,MacIntel,120.0048002,Chrome,1728,1117,,,l,1.4479,10,484,2,1,3,15,3,1,0,1,0,0,1,0,0,0,circle,triangle,,,,,,,,,,,,,
